game_id,league_id,season,date,home_team_id,away_team_id,home_goals,away_goals,home_prob,draw_prob,away_prob,home_goals_half_time,away_goals_half_time
12130,4,2019,10/30/2019,150,159,5,0,0.998,0.001,1.00E-03,3,0
5299,3,2014,2/28/2015,129,124,3,0,0.999,9.00E-04,1.00E-04,0,0
5940,5,2014,3/13/2015,171,162,3,0,0.9989,0.001,1.00E-04,2,0
5510,4,2014,4/5/2015,150,155,9,1,0.9986,0.0013,1.00E-04,4,0
13169,2,2019,10/27/2019,107,99,7,1,0.9984,0.0015,1.00E-04,3,1
16125,5,2020,5/16/2021,161,177,4,0,0.9979,0.002,1.00E-04,2,0
4674,1,2014,11/22/2014,80,76,2,0,0.9972,0.0027,1.00E-04,2,0
1786,4,2016,8/22/2016,143,158,1,1,0.997,0.0029,1.00E-04,0,0
791,2,2015,2/11/2016,96,94,5,2,0.9957,0.0042,1.00E-04,1,0
15402,3,2020,4/21/2021,129,240,2,0,0.9996,2.00E-04,2.00E-04,1,0
3109,1,2016,12/3/2016,82,84,5,0,0.999,8.00E-04,2.00E-04,2,0
7534,2,2017,9/17/2017,105,222,6,0,0.998,0.0018,2.00E-04,4,0
931,2,2016,8/20/2016,95,99,4,0,0.9973,0.0025,2.00E-04,0,0
5529,4,2014,4/11/2015,152,145,6,1,0.9972,0.0026,2.00E-04,4,1
8773,5,2017,1/17/2018,161,181,8,0,0.9967,0.0031,2.00E-04,4,0
15838,5,2020,11/1/2020,171,176,4,0,0.9964,0.0034,2.00E-04,3,0
4897,2,2014,3/9/2015,96,110,4,0,0.9957,0.0041,2.00E-04,1,0
7298,1,2017,12/16/2017,88,82,4,1,0.9951,0.0047,2.00E-04,1,0
4827,2,2014,5/31/2015,113,203,5,0,0.9934,0.0064,2.00E-04,3,0
5333,3,2014,12/16/2014,117,135,2,0,0.9919,0.0079,2.00E-04,1,0
1528,4,2015,11/29/2015,138,146,1,0,0.861,0.1388,2.00E-04,0,0
10166,4,2018,1/26/2019,138,151,5,0,0.9973,0.0024,3.00E-04,0,0
14710,1,2020,3/14/2021,75,238,5,0,0.9969,0.0028,3.00E-04,1,0
12529,3,2019,12/14/2019,117,123,6,1,0.9968,0.0029,3.00E-04,2,1
516,1,2016,9/24/2016,87,91,5,1,0.9966,0.0031,3.00E-04,3,0
12520,3,2019,12/7/2019,129,233,5,0,0.9917,0.008,3.00E-04,1,0
5738,4,2014,11/22/2014,148,138,5,1,0.9883,0.0114,3.00E-04,1,0
4957,2,2014,1/5/2015,96,102,3,0,0.977,0.0227,3.00E-04,2,0
5133,2,2014,9/24/2014,98,203,3,0,0.9454,0.0543,3.00E-04,1,0
7821,2,2017,4/17/2018,106,116,4,0,0.944,0.0557,3.00E-04,1,0
8038,4,2017,12/17/2017,148,139,4,0,0.999,6.00E-04,4.00E-04,2,0
1109,3,2015,10/25/2015,129,121,5,1,0.9959,0.0037,4.00E-04,3,0
8257,4,2017,5/19/2018,152,151,4,2,0.9959,0.0037,4.00E-04,2,1
15034,4,2020,3/7/2021,140,151,1,0,0.9954,0.0042,4.00E-04,1,0
1327,3,2016,8/26/2016,117,123,6,0,0.9936,0.006,4.00E-04,2,0
2834,5,2016,11/5/2016,171,182,6,0,0.9934,0.0062,4.00E-04,2,0
4786,2,2014,5/3/2015,105,111,3,0,0.99,0.0096,4.00E-04,0,0
16098,5,2020,5/1/2021,160,170,2,0,0.521,0.4786,4.00E-04,1,0
14096,1,2020,9/19/2020,72,76,5,2,0.9973,0.0022,5.00E-04,2,1
1482,4,2015,10/24/2015,138,142,5,0,0.9968,0.0027,5.00E-04,2,0
9239,1,2018,9/15/2018,88,228,3,0,0.9962,0.0033,5.00E-04,2,0
15962,5,2020,1/22/2021,161,166,4,0,0.9962,0.0033,5.00E-04,1,0
8770,5,2017,1/16/2018,164,225,2,0,0.9936,0.0059,5.00E-04,0,0
10142,4,2018,1/12/2019,146,231,1,1,0.992,0.0075,5.00E-04,0,0
4197,5,2016,3/11/2017,169,162,5,0,0.9799,0.0196,5.00E-04,0,0
11939,1,2019,6/22/2020,88,92,5,0,0.9754,0.0241,5.00E-04,3,0
15624,2,2020,1/30/2021,106,222,4,0,0.862,0.1375,5.00E-04,1,0
8484,3,2017,3/10/2018,117,118,6,0,0.999,4.00E-04,6.00E-04,3,0
